          34
           1           1           2
           2           1           2
           3           1           2
           4           1           2
           5           1           2
           6           1           2
           7           1           2
           8           1           2
           9           1           2
          10           1           2
          11           1           2
          12           1           2
          13           1           2
          14           1           2
          15           1           2
          16           1           2
          17           1           2
          18           1           2
          19           1           2
          20           1           2
          21           1           2
          22           1           2
          23           1           2
          24           1           2
          25           1           2
          26           1           2
          27           1           2
          28           1           2
          29           1           2
          30           1           2
          31           1           2
          32           1           2
          33           1           2
          34           1           2
          34
           1           2           1
           2           2           1
           3           2           1
           4           2           1
           5           2           1
           6           2           1
           7           2           1
           8           2           1
           9           2           1
          10           2           1
          11           2           1
          12           2           1
          13           2           1
          14           2           1
          15           2           1
          16           2           1
          17           2           1
          18           2           1
          19           2           1
          20           2           1
          21           2           1
          22           2           1
          23           2           1
          24           2           1
          25           2           1
          26           2           1
          27           2           1
          28           2           1
          29           2           1
          30           2           1
          31           2           1
          32           2           1
          33           2           1
          34           2           1
